ADM100
Teoria Geral da Administração I



ADM101
Teoria Geral da Administração II




ADM250
Matemática Financeira


ADM305
Gestão de Pessoas



ADM308
Administração Municipal


ADM309
"Organização, Sistemas e Métodos"




ADM328
Administração da Produção e Materiais




ADM345
Sistemas de Informação Gerencial



ADM392
Identificação e Viabilização de Oportunidades de Negócios








ARQ301
Sistemas CAD na Arquitetura




BIO131
Ecologia Básica


CCO100
Contabilidade Geral


DIR130
Instituições de Direito


EAM432
Organização de Materiais Cartográficos



EAM451
Sistema de Informação Geográfica






ECO270
Introdução à Economia


ECO448
Economia Brasileira



EDU110
Psicologia


EDU127
Filosofia da Ciência


EDU314
Dinâmica de Grupo


EDU315
Psicologia e Administração




ELT434
Robótica



ELT460
Inteligência Computacional




ERU324
Metodologia de Pesquisa


EST220
Estatística Experimental



EST410
Probabilidade



EST411
Inferência



FIS202
Física II



FIS391
Eletrônica Instrumental



INF115
Programação Funcional


INF216
Projeto e Implementação de Jogos Digitais




INF281
Pesquisa Operacional II



INF282
Pesquisa Operacional III



INF290
Atividades Complementares I


INF291
Atividades Complementares II



INF292
Atividades Complementares III



INF293
Atividades Complementares IV



INF294
Atividades Complementares V



INF321
Projeto de Sistemas para a Web




INF350
Circuitos Digitais


INF394
Processamento Digital de Imagens




INF423
Inteligência Artificial II



INF430
Gerência de Projetos de Software I




INF442
Padrões de Projeto e Programação Orientada a Aspectos





INF455
Computação Móvel



INF485
Simulação



INF490
Empreendimentos em Tecnologia da Informação




INF491
Tópicos Especiais I


INF492
Tópicos Especiais II


INF493
Tópicos Especiais III


INF494
Tópicos Especiais IV


INF495
Informática e Sociedade


LET290
LIBRAS Língua Brasileira de Sinais



MAT152
Geometria Analítica


MAT336
Álgebra Linear I
