INF110
Programação I


INF191
Introdução à Ciência da Computação


LET215
Inglês I


MAT131
Introdução à Álgebra


MAT140
Cálculo I


EST105
Iniciação à Estatística



INF112
Programação II



INF130
Teoria da Computação



MAT135
Geometria Analítica e Álgebra Linear



MAT147
Cálculo II


FIS201
Física I



FIS224
Laboratório de Física A



INF213
Estrutura de Dados



INF280
Pesquisa Operacional I



MAT241
Cálculo III




MAT271
Cálculo Numérico
FIS203
Física III




FIS225
Laboratório de Física B



INF220
Banco de Dados I



INF251
Organização de Computadores I




INF330
Teoria e Modelos de Grafos




INF332
Projeto e Análise de Algoritmos


INF221
Engenharia de Software I



INF331
Linguagens Formais e Autômatos




INF340
Linguagens de Programação




INF420
Inteligência Artificial I



INF450
Organização de Computadores II


INF310
Programação Concorrente e Distribuída




INF323
Engenharia de Software II



INF390
Computação Gráfica



INF441
Construção de Compiladores




INF451
Sistemas Operacionais


INF322
Banco de Dados II



INF452
Redes de Computadores



INF496
Projeto Final de Curso



INF498
Seminário I

INF421
Sistemas de Informação



INF499
Seminário II
